"LegalName","BusinessName","BusinessAddress","City","State","Zip","County","Municipality","AgentName","Expiration","LastUpdated","Fee","CIG","TOB","VAP","OTC","VM",
"SPEEDY 2 LLC","Speedy 2 LLC","1630 E Blaschko Avenue","Arcadia","WI","54612","TREMPEALEAU","CITY of ARCADIA","Hector Pucheta","2026-06-30","2025-07-03","10","1","1","1","1","0",
"SPEEDWAY, LLC","SPEEDWAY #4125","6170 N GREEN BAY AVE","GLENDALE","WI","53209","MILWAUKEE","CITY of GLENDALE","JAMIE GOODWIN","2026-06-30","2026-02-24","100","1","1","1","1","0",
"SPEEDWAY, LLC","SPEEDWAY #4220","9200 W BURLEIGH ST","MILWAUKEE","WI","53222","MILWAUKEE","CITY of MILWAUKEE","BAKER, JAMES, AGENT","2026-03-01","2025-07-15","100","1","1","0","1","0",
"SPEEDWAY, LLC","SPEEDWAY #4292","959 W LINCOLN AV","MILWAUKEE","WI","53215","MILWAUKEE","CITY of MILWAUKEE","BAKER, JAMES, AGENT","2026-04-18","2025-07-15","100","1","1","1","1","0",
"SPEEDWAY SUPERAMERICA LLC","SPEEDWAY #4179","403 E. WISCONSIN AVE.","OCONOMOWOC","WI","53066","WAUKESHA","CITY of OCONOMOWOC","BOWE, JENNIFER","2026-06-30","2025-07-14","100","1","1","1","1","0",
"SPEEDWAY LLC OWNED BY MPC INVESTMENT INC","SPEEDWAY  #4170","2810 FISH HATCHERY RD.","FITCHBURG","WI","53713","DANE","CITY of FITCHBURG","EDWIN BENITEZ","2026-06-30","2025-07-14","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #2088","3012 WASHINGTON RD ","KENOSHA","WI","53144","KENOSHA","CITY of KENOSHA","AMY BOYER","2027-06-30","2026-06-25","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #2086","1107 LIBERTY AVE","BELOIT","WI","53511","ROCK","CITY of BELOIT","BRIAN RANDALL","2026-06-30","2025-07-23","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #4087","148 LIBERTY AVE","BELOIT","WI","53511","ROCK","CITY of BELOIT","BRIAN RANDALL","2026-06-30","2025-07-23","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #4293","2781 MILWAUKEE RD","BELOIT","WI","53511","ROCK","CITY of BELOIT","BRIAN RANDALL","2026-06-30","2025-07-23","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY LLC","4902 VERONA RD","MADISON","WI","53711","DANE","CITY of MADISON","CHARLES G SATTERFIELD","2025-06-30","2026-04-16","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #4465","W178N9653 RIVERSBEND CIR W","GERMANTOWN","WI","53022","WASHINGTON","VILLAGE of GERMANTOWN","CAROLINE CLARK","2026-06-30","2025-07-11","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #4495","W164N11233 SQUIRE DRIVE","GERMANTOWN","WI","53022","WASHINGTON","VILLAGE of GERMANTOWN","CHAD M NICKERSON","2026-06-30","2025-07-11","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #7434","5959 75TH ST","KENOSHA","WI","53142","KENOSHA","CITY of KENOSHA","MIRANDA JOHNSTON","2027-06-30","2026-06-25","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #4029","3708-60TH ST","KENOSHA","WI","53144","KENOSHA","CITY of KENOSHA","JENNIFER SHARP","2027-06-30","2026-06-25","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #4451","2110 S GREEN BAY ROAD","RACINE","WI","53406","RACINE","CITY of RACINE","CARMELLA M HARRIS","2026-06-30","2026-04-01","1","1","1","1","0","0",
"SPEEDWAY LLC","SPEEDWAY #2089","4620 WASHINGTON AVENUE","RACINE","WI","53405","RACINE","CITY of RACINE","CHANTENISE WALKER","2026-06-30","2026-04-01","1","1","1","1","0","0",
"SPEEDWAY LLC","SPEEDWAY #4203","W63N121 WASHINGTON AVE","CEDARBURG","WI","53012","OZAUKEE","CITY of CEDARBURG","LAURA M. STRUEBING","2026-06-30","2025-07-09","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #4462","8667 S. Howell Ave.","OAK CREEK","WI","53154","MILWAUKEE","CITY of OAK CREEK","HEATHER COTTRELL","2026-06-30","2025-07-11","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #4202","6340 LAKE RD","WINDSOR","WI","53598","DANE","VILLAGE of WINDSOR","April Harper","2026-06-30","2025-06-30","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #4450","4960 DOUGLAS AVENUE","Caledonia","WI","53402","RACINE","VILLAGE of CALEDONIA","Micah Snyder","2026-06-30","2025-06-30","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #4230","14001 W GREENFIELD AVENUE","NEW BERLIN","WI","53151","WAUKESHA","CITY of NEW BERLIN","LISA R. KANIASTY","2026-06-30","2026-02-10","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #4540","15555 W BELOIT ROAD","NEW BERLIN","WI","53151","WAUKESHA","CITY of NEW BERLIN","ADAM J. NOVAK","2026-06-30","2026-02-10","100","1","1","1","1","0",
"SPEEDWAY LLC ","SPEEDWAY #4533","2500 ROYAL AVE.","MONONA","WI","53713","DANE","CITY of MONONA","TERRANCE FURLOW","2026-06-30","2025-07-01","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #4178","104 N. CHURCH STREET","WATERTOWN","WI","53094","JEFFERSON","CITY of WATERTOWN","KEVIN CONLEY","2026-06-30","2026-03-26","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY STORE #4455","10001 W CHURCH ST","FRANKLIN","WI","53132","MILWAUKEE","CITY of FRANKLIN","ROBERT EASTHAM","2026-06-30","2025-07-01","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #2073","6804 W NORTH AVENUE","WAUWATOSA","WI","53213","MILWAUKEE","CITY of WAUWATOSA","SHAKELA GLOVER","2026-06-30","2025-07-14","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #2121","4265 S 60TH ST","GREENFIELD","WI","53220","MILWAUKEE","CITY of GREENFIELD","AMAR KURHASKU","2026-06-30","2025-07-23","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY 4127","3102 S. CHICAGO AVENUE","SOUTH MILWAUKEE","WI","53172","MILWAUKEE","CITY of SOUTH MILWAUKEE","DARYL MUSICK","2026-06-30","2025-07-03","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY 2080","2301 10TH AVENUE","SOUTH MILWAUKEE","WI","53172","MILWAUKEE","CITY of SOUTH MILWAUKEE","ANEL ORTA","2026-06-30","2025-07-03","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #7465","12221 75TH STREET","KENOSHA","WI","53142","KENOSHA","VILLAGE of BRISTOL","Gurtruda Van Der Walt","2026-06-30","2025-07-24","100","1","0","0","1","0",
"SPEEDWAY LLC","SPEEDWAY #4154","3390 W LOOMIS RD","GREENFIELD","WI","53221","MILWAUKEE","CITY of GREENFIELD","ASHLEY RIPPLE","2026-06-30","2025-07-23","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #4472","6000 W LAYTON AVE","GREENFIELD","WI","53220","MILWAUKEE","CITY of GREENFIELD","MARIA HAMANN","2026-06-30","2025-07-23","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #7510","110 W COLLEGE AV","MILWAUKEE","WI","53207","MILWAUKEE","CITY of MILWAUKEE","BAKER, JAMES, AGENT","2026-04-17","2025-07-15","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #4485","1300 W COLLEGE AV","MILWAUKEE","WI","53221","MILWAUKEE","CITY of MILWAUKEE","BAKER, JAMES, AGENT","2026-05-12","2025-07-15","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #4025","369 E OKLAHOMA AV","MILWAUKEE","WI","53207","MILWAUKEE","CITY of MILWAUKEE","BAKER, JAMES, AGENT","2026-04-21","2025-07-15","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #4129","3869 S 84TH ST","MILWAUKEE","WI","53228","MILWAUKEE","CITY of MILWAUKEE","BAKER, JAMES, AGENT","2026-03-22","2025-07-15","100","1","1","0","1","0",
"SPEEDWAY LLC","SPEEDWAY #4226","N87W17425 MAIN ST.","MENOMONEE FALLS","WI","53051","WAUKESHA","VILLAGE of MENOMONEE FALLS","MARY DONNELL","2026-06-30","2025-07-14","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY 4195","5490 S 76TH STREET","GREENDALE","WI","53129","MILWAUKEE","VILLAGE of GREENDALE","","2026-06-30","2025-07-11","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY 4118","12340 WEST OKLAHOMA AVENUE","WEST ALLIS","WI","53227","MILWAUKEE","CITY of WEST ALLIS","MARY DONNELL DONNELL","2026-06-30","2025-07-14","100","0","1","1","0","1",
"Speedway LLC","Speedway #4100","4225 West Burnham Street","West Milwaukee","WI","53215","MILWAUKEE","VILLAGE of WEST MILWAUKEE","Heidi Ewing","2026-06-30","2025-07-07","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #2122","8012 SHERIDAN RD","KENOSHA","WI","53140","KENOSHA","CITY of KENOSHA","GERTRUIDA VAN DER WALT","2027-06-30","2026-06-25","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY","6265 S. PENNSYLVANIA AVE","CUDAHY","WI","53110","MILWAUKEE","CITY of CUDAHY","TIMOTHY LEISTER","2026-06-30","2025-07-23","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY","4944 S PACKARD AVE","CUDAHY","WI","53110","MILWAUKEE","CITY of CUDAHY","JODY ROMANO","2026-06-30","2025-07-23","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #4604","800 E LAYTON AV","MILWAUKEE","WI","53207","MILWAUKEE","CITY of MILWAUKEE","BAKER, JAMES, AGENT","2026-03-22","2025-07-15","100","1","1","1","1","0",
"SPEEDWAY LLC","SPEEDWAY #4181","9200 W BLUE MOUND RD","MILWAUKEE","WI","53226","MILWAUKEE","CITY of MILWAUKEE","BAKER, JAMES, AGENT","2026-04-12","2025-07-15","100","1","1","1","1","0",
"SPEEDWAY INN INC","SPEEDWAY INN INC","18815 W BLUEMOUND RD","BROOKFIELD","WI","53045","WAUKESHA","TOWN of BROOKFIELD","Michael Wiederhold","2026-06-30","2025-07-01","50","1","1","1","1","0",
"SPEEDWAY #4513","SPEEDWAY LLC","6209 WASHINGTON AVENUE","MOUNT PLEASANT","WI","53406","RACINE","VILLAGE of MOUNT PLEASANT","JAMES POWELL","2026-06-30","2025-07-01","100","1","1","1","1","0",
"SPEEDWAY #4120","SPEEDWAY LLC","521 S GRAND AVE","WAUKESHA","WI","53186","WAUKESHA","CITY of WAUKESHA","michael sadorf","2027-06-30","2026-06-10","100","1","1","1","1","0",
"SPEEDWAY #4119","SPEEDWAY LLC","400 SUMMIT AVE","WAUKESHA","WI","53188","WAUKESHA","CITY of WAUKESHA","kristina gonias","2027-06-30","2026-06-10","100","1","1","1","1","0",
"SPEEDWAY  LLC.","SPEEDWAY #4313","550 W. JOHNSON ST.","FOND DU LAC","WI","54935","FOND DU LAC","CITY of FOND DU LAC","CHAD GRIFFITH","2026-06-30","2025-07-24","100","1","1","1","1","0",
"SPEEDUP 9, LLC","SPEEDUP 9","1230 N TAYLOR DRIVE","SHEBOYGAN","WI","53081","SHEBOYGAN","CITY of SHEBOYGAN","TRACY J COUCH","2026-06-30","2025-07-14","100","1","1","1","1","0",
"SPEEDUP 7, LLC","SPEEDUP 7","1006 GEELE AVE","SHEBOYGAN","WI","53083","SHEBOYGAN","CITY of SHEBOYGAN","TRACY J COUCH","2026-06-30","2025-07-14","100","1","1","1","1","0",
"SPEEDUP 11, LLC","SPEEDUP 11","1211 WEEDEN CREEK ROAD","SHEBOYGAN","WI","53081","SHEBOYGAN","CITY of SHEBOYGAN","TRACY J COUCH","2026-06-30","2025-07-14","100","1","1","1","1","0",
"SPEED UP 10","SPEEDUP 10","1039 CENTER AVE","OOSTBURG","WI","53070","SHEBOYGAN","VILLAGE of OOSTBURG","Tracy Couch","2026-06-30","2025-10-14","25","1","1","1","1","0",
"SPDK, INC","SUNRISE LIQUOR AND GIFTS","9330 W CAPITOL DR","MILWAUKEE","WI","53222","MILWAUKEE","CITY of MILWAUKEE","PATEL, KAMLESH M, AGENT","2025-09-26","2025-07-15","100","1","1","1","1","0",
"SPARTA STORE, LLC","SNAK ATAK #24","318 W WISCONSIN ST","SPARTA","WI","54656","MONROE","CITY of SPARTA","MEHUL SHAH","2026-06-30","2025-08-14","100","1","1","1","1","0",
"SPARTA COOPERATIVE SERVICES","CENEX","918 S BLACK RIVER ST","SPARTA","WI","54656","MONROE","CITY of SPARTA","PAUL CRAIG","2026-06-30","2025-08-14","100","1","1","1","1","0",
"SPARE TIME BOWL BAR & GRILL INC","SPARE TIME BAR & GRILL","440 INDUSTRIAL AVE","TURTLE LAKE","WI","54889","POLK","VILLAGE of TURTLE LAKE","LORI L LARSON","2026-06-30","2025-07-02","100","1","1","1","1","0",
"SOUTHERN WISCONSIN COOP","SOUTHERN WISCONSIN COOP","2914 13TH ST","MONROE","WI","53566","GREEN","CITY of MONROE","","2026-06-30","2025-07-09","100","1","1","1","1","0",
"SOUTHERN CREX SPIRITS INC.","RENDEZVOUS (THE)","115 W. MADISON AVE.","GRANTSBURG","WI","54840","BURNETT","VILLAGE of GRANTSBURG","JANKE, MICHAEL","2026-06-30","2025-07-15","100","1","1","0","1","0",
"SOUTH SHORE PUB & GRILLE LLC","SOUTH SHORE PUB & GRILLE","12369 S SHORE DR","SURING","WI","54174","OCONTO","TOWN of MOUNTAIN","Jeffrey Molkentin","2026-06-30","2025-07-23","5","1","1","1","1","0",
"SOUTH MILWAUKEE LIQUOR MART LLC","O.G. LIQUOR & WINE HUB","1202 MILWAUKEE AVENUE","SOUTH MILWAUKEE","WI","53172","MILWAUKEE","CITY of SOUTH MILWAUKEE","JASBIR SINGH","2026-06-30","2025-07-03","100","1","1","0","1","0",
"SOUTH HILLS GOLF & COUNTRY CLUB, INC.","SOUTH HILLS GOLF & COUNTRY","1175 FOND DU LAC AVE.","FOND DU LAC","WI","54935","FOND DU LAC","CITY of FOND DU LAC","JACQUELINE RUNGE","2026-06-30","2025-07-24","100","0","1","0","1","0",
"SOUTH CHASE SALOON LLC","CHASE SALOON LLC","494 COUNTY ROAD C","PULASKI","WI","54162","OCONTO","TOWN of CHASE","Kaitlin Waugen","2026-06-30","2025-07-02","5","0","1","1","1","0",
"SOSINSKY FOODS LLC","PARDEEVILLE PIGGLY WIGGLY","514 S MAIN STREET","PARDEEVILLE","WI","53954","COLUMBIA","VILLAGE of PARDEEVILLE","Brandon Sosinsky","2026-06-30","2025-07-15","100","1","1","1","1","0",
"SORCHY'S LLC","SMOKES ON STATE","326 W MAIN STREET","SUN PRAIRIE","WI","53590","DANE","CITY of SUN PRAIRIE","CALVIN SORCHY","2027-06-30","2026-06-10","100","0","1","1","1","0",
"SOR & SAN INC","RED PINE AMOCO","W13315 HWY C","ATHELSTANE","WI","54104","MARINETTE","TOWN of SILVER CLIFF","SORENSON ROBERT","2026-06-30","2025-07-03","5","1","0","0","1","0",
"SONLITE ENTERPRISES, LLC","LUCKY MOJOS","460 NORTH PINE STREET","BURLINGTON","WI","53105","RACINE","CITY of BURLINGTON","BENJAMIN BARELS","2026-06-30","2026-02-24","100","1","1","1","1","0",
"SOMERSTAR ENTERTAINMENT","SOMERSET AMPHITHEATER","715 SPRING ST","SOMERSET","WI","54025","ST CROIX","VILLAGE of SOMERSET","RAYMOND MITHUN","2026-06-30","2025-07-07","50","1","1","1","1","0",
"SOMERS MARKET LLC","SOMERS MARKET LL","11302 12TH STREET","STURTEVANT","WI","53177","KENOSHA","VILLAGE of SOMERS","Parveen Bhardwaj","2027-06-30","2026-06-17","100","1","1","1","1","0",
"SOKAOGON CHIPPEWA COMMUNITY","SOKAOGON CHPPPEWA C-STORE","3156 STATE HWY 55","CRANDON","WI","54520","FOREST","TOWN of NASHVILLE","ROBERT VANZILE, JR.","2027-06-30","2026-06-26","5","1","0","0","0","1",
"SOFIA MART, LLC","SOFIA MART","1516 N. SPRING ST.","BEAVER DAM","WI","53916","DODGE","CITY of BEAVER DAM","BISHAL ADHIKAR","2026-06-30","2025-07-24","100","1","1","1","1","0",
"SOCHE, LLC","CITY SOCIAL BAR AND GRILL AND THE LYNQ","530 N WATER ST","MILWAUKEE","WI","53202","MILWAUKEE","CITY of MILWAUKEE","SMITH, COREY L, AGENT","2026-06-02","2025-07-15","100","1","1","1","1","0",
"SNUFFY'S BAR","SNUFFY'S BAR LLC","1903 WEST AVE S","LA CROSSE","WI","54601","LA CROSSE","CITY of LA CROSSE","AMBREA JO MARCOU","2026-06-30","2025-09-26","100","1","1","0","1","0",
"SNR 05 INC","EXPRESS AT 60TH","3465 N 60TH ST","MILWAUKEE","WI","53216","MILWAUKEE","CITY of MILWAUKEE","SANGHA, RAJMANINDER SINGH, AGENT","2025-09-27","2025-07-15","100","1","1","0","1","0",
"SNL, LLC","THE HIGHWAY 46 STORE","800 STATE ROAD 46 N","BALSAM LAKE","WI","54810","POLK","VILLAGE of BALSAM LAKE","LEONARD A OLSON","2027-06-30","2026-06-19","50","1","1","0","1","0",
"SNIVA INC","CHRISTIANO'S SUPERMARKET","2054 KEARNEY AVENUE","RACINE","WI","53403","RACINE","CITY of RACINE","SNEHABEN DIXIT PATEL","2026-06-30","2026-04-01","1","1","1","1","1","0",
"SMOKIN GLASS II LLC","SMOKIN GLASS","1107 WEST WISCONSIN AVE","APPLETON","WI","54914","OUTAGAMIE","CITY of APPLETON","JUSTIN BEESE","2026-06-30","2026-03-18","100","0","1","1","1","0",
"SMOKIN GLASS","LIL DEVILS GLASS INC","178 N KOELLER ST","OSHKOSH","WI","54902","WINNEBAGO","CITY of OSHKOSH","JUSTIN  BEESE","2026-06-30","2025-07-16","100","0","1","0","0","1",
"SMOKIN GLASS","SMOKIN GLASS, LLC","119 S MILITARY","GREEN BAY","WI","54303","BROWN","CITY of GREEN BAY","BEESE, JUSTIN","2025-06-30","2025-07-09","100","0","1","1","1","0",
"SMOKIEZ LLC","SMOKIEZ","2634 N 27TH ST","MILWAUKEE","WI","53206","MILWAUKEE","CITY of MILWAUKEE","PATEL, RAJ R, AGENT","2026-01-16","2025-07-15","100","1","1","1","1","0",
"SMOKIES DISCOUNT TOBACCO LLC","SMOKIES DISCOUNT TOBACCO","4354 S 27TH ST","MILWAUKEE","WI","53221","MILWAUKEE","CITY of MILWAUKEE","PROTZ, MATTHEW C, AGENT","2025-07-05","2025-07-15","100","1","1","1","1","0",
"SMOKEY'S VAPE & TOBACCO OUTLET LLC","SMOKEY'S VAPE & TOBACCO OUTLET","7225 S 76TH ST","FRANKLIN","WI","53132","MILWAUKEE","CITY of FRANKLIN","SAID MUSTAFA","2026-06-30","2025-07-01","100","1","1","1","1","0",
"SMOKEY'S 2 INC","SMOKEY'S 2","3869 S 27TH ST","MILWAUKEE","WI","53221","MILWAUKEE","CITY of MILWAUKEE","MUSTAFA, SAID R, AGENT","2025-09-07","2025-07-15","100","1","1","1","1","0",
"SMOKEY WORLD LLC","SMOKEY WORLD","7528 W BURLEIGH ST","MILWAUKEE","WI","53210","MILWAUKEE","CITY of MILWAUKEE","JARABA, FARIES H, AGENT","2025-09-28","2025-07-15","100","1","1","1","1","0",
"SMOKEY JOES","SMOKEY JOES","538 S MAIN STREET","SHAWANO","WI","54166","SHAWANO","CITY of SHAWANO","AMBER L. ARNESON","2026-06-30","2025-06-24","100","0","1","1","1","0",
"SMOKES ON MAIN, LLC","SMOKES ON MAIN","85 N PIONEER RD","FOND DU LAC","WI","54935","FOND DU LAC","CITY of FOND DU LAC","COREEN CYCHOSZ","2026-06-30","2025-07-24","100","1","1","1","1","0",
"SMOKES ON MAIN LLC","SMOKES ON MAIN","2040 S MAIN ST","WEST BEND","WI","53095","WASHINGTON","CITY of WEST BEND","COREEN CYCHOSZ","2026-06-30","2025-07-14","0","1","1","1","1","0",
"SMOKES 4 LESS","BUCK'S SMOKES 4 LESS INC","91 COPELAND AVE","LA CROSSE","WI","54603","LA CROSSE","CITY of LA CROSSE","KARIM WAZWAZ","2026-06-30","2025-09-26","100","1","1","1","1","0",
"SMOKES 4 LESS","LA CROSSE SMOKES 4 LESS 1 INC","4300 MORMON COULEE RD","LA CROSSE","WI","54601","LA CROSSE","CITY of LA CROSSE","YUNES T ABUISNAINEN","2026-06-30","2025-09-26","100","1","1","1","1","0",
"SMOKERS ZONE LLC","FRIENDLY MARKET","2778 N 59TH ST","MILWAUKEE","WI","53210","MILWAUKEE","CITY of MILWAUKEE","JABER, ADLI K, AGENT","2026-05-16","2025-07-15","100","1","1","1","1","0",
"SMOKERS CHOICE PLEASANT PRAIRIE LLC","SMOKERS CHOICE SMOKE SHOP","4623 75TH STREET #6","PLEASANT PRAIRIE","WI","53158","KENOSHA","VILLAGE of PLEASANT PRAIRIE","AJWAD MUSAITEF","2026-06-30","2025-06-23","100","1","1","1","1","0",
"SMOKERS CHOICE LLC","SMOKERS CHOICE","2508 DOUGLAS AVE","RACINE","WI","53402","RACINE","CITY of RACINE","AJWAD MUSAITEF","2026-06-30","2026-04-01","1","1","1","1","0","0",
"SMOKERS CHOICE LATHROP LLC","SMOKERS CHOICE LATHROP","2042 LATHROP","RACINE","WI","53405","RACINE","CITY of RACINE","AJWAD MUSAITEF","2026-06-30","2026-04-01","1","1","1","1","0","0",
"SMOKERS CHOICE HWY 20 LLC ","SMOKERS CHOICE HWY 20 LLC ","6026 WASHINGTON AVE SUITE C","MOUNT PLEASANT","WI","53406","RACINE","VILLAGE of MOUNT PLEASANT","AJWAD MUSAITEF","2026-06-30","2025-07-01","100","1","1","1","1","0",
"SMOKERS CENTER","SMOKER'S CENTER","9824 DURAND AVENUE","STURTEVANT","WI","53177","RACINE","VILLAGE of STURTEVANT","JAMAL MUHAMMAD","2026-06-30","2025-07-07","100","1","1","1","1","0",
"SMOKE X LLC","SMOKE X","4642 S 76TH ST","GREENFIELD","WI","53220","MILWAUKEE","CITY of GREENFIELD","BASSAM AL-RAMAHI","2026-06-30","2025-07-23","100","1","1","1","1","0",
"SMOKE X 4 LLC","SMOKE X","8201 S HOWELL AVE. STE. 200","OAK CREEK","WI","53154","MILWAUKEE","CITY of OAK CREEK","BASSAM AL-RAMAHI","2026-06-30","2025-07-11","100","1","1","1","1","0",
"SMOKE X 3 LLC","SMOKE X","7616 W RAWSON AVE","FRANKLIN","WI","53132","MILWAUKEE","CITY of FRANKLIN","BASSAM AL-RAMAHI","2026-06-30","2025-07-01","100","1","1","1","1","0",
"SMOKE X 2 LLC","SMOKE X","4777 S PACKARD AVE","CUDAHY","WI","53110","MILWAUKEE","CITY of CUDAHY","BASSAM D AL-RAMAHI","2026-06-30","2025-07-23","100","1","1","1","1","0",
"SMOKE WORLD, INC","SMOKE WORLD","1422 E BRADY ST","MILWAUKEE","WI","53202","MILWAUKEE","CITY of MILWAUKEE","BARBARAWI, ANAN SA, AGENT","2025-10-11","2025-07-15","100","1","1","1","1","0",
"SMOKE WORLD VAPE PLUS, LLC","SMOKE WORLD VAPE","709 N SPRING ST, SUITE B","BEAVER DAM","WI","53916","DODGE","CITY of BEAVER DAM","ANAN BARBARAWIP","2026-06-30","2025-07-24","100","1","1","1","1","0",
"SMOKE WORLD VAPE LLC","SMOKE WORLD VAPE","8809 S HOWELL AVE.","OAK CREEK","WI","53154","MILWAUKEE","CITY of OAK CREEK","KARIM MISHAL","2026-06-30","2025-07-11","100","1","1","0","1","0",
"SMOKE WORLD VAPE","ALL NEW TOBACCO VAPE OUTLET LLC","301 BROADWAY","WISCONSIN DELLS","WI","53965","COLUMBIA","CITY of WISCONSIN DELLS","REINER VETTER RAMIREZ","2026-06-30","2026-02-25","100","1","1","1","1","0",
"SMOKE WORLD INC","SMOKE WORLD VAPE BROOKFIELD","17115 W. BLUEMOUND ROAD, STE B","BROOKFIELD","WI","53005","WAUKESHA","CITY of BROOKFIELD","KARIM MISHAL","2025-06-30","2024-08-12","100","1","1","1","1","0",
"SMOKE WORLD INC","SMOKE WORLD VAPE GREENFIELD","4736 S 76TH ST","GREENFIELD","WI","53220","MILWAUKEE","CITY of GREENFIELD","ANAN BARBARAWI","2026-06-30","2025-07-23","100","1","1","1","1","0",
"SMOKE WORLD","SMOKE WORLD BELOIT LLC","1809 RIVERSIDE DRIVE","BELOIT","WI","53511","ROCK","CITY of BELOIT","AHMED HUSSEIN","2026-06-30","2025-07-23","100","1","1","1","1","0",
"SMOKE TRAIL TOBACCO & VAPE INC.","SMOKE TRAIL TOBACCO & VAPE","975 MAIN AV","DE PERE","WI","54115","BROWN","CITY of DE PERE","MUSHREH, NOMAN","2026-06-30","2025-07-21","100","1","1","1","1","0",
"SMOKE NATION, LLC","SMOKE NATION","34 W SPRING STREET","CHIPPEWA FALLS","WI","54729","CHIPPEWA","CITY of CHIPPEWA FALLS","MOHAMMED AL-SMADI","2026-06-30","2025-07-15","50","1","1","1","1","0",
"SMOKE N PUFF","SMOKE N PUFF","935 HORICON ST","MAYVILLE","WI","53050","DODGE","CITY of MAYVILLE","HASSAN ELZOFRI","2027-06-30","2026-06-22","100","1","1","1","1","0",
"SMOKE ESSENTIALS LLC","SMOKE ESSENTIALS LLC","4401 W FOND DU LAC AV #A","MILWAUKEE","WI","53216","MILWAUKEE","CITY of MILWAUKEE","CUNNINGHAM, JAMEL L, AGENT","2026-06-06","2025-07-15","100","1","1","1","1","0",
"SMOKE ENTERPRISES INC","E-SMOKE","416 MILWAUKEE AVENUE","BURLINGTON","WI","53105","RACINE","CITY of BURLINGTON","SHAHZAIB SHEIKH","2026-06-30","2026-02-24","100","1","1","1","1","0",
"SMOKE DEPOT LLC","PUFF DADDIES","2340 BADGER DRIVE","HUDSON","WI","54017","ST CROIX","CITY of HUDSON","Anthony Haugen","2026-06-30","2025-12-11","100","1","1","1","1","0",
"SMOKE DEPOT LLC","PUFF DADDIES","2340 BADGER DRIVE","HUDSON","WI","54017","ST CROIX","CITY of HUDSON","Anthony Haugen","2026-06-30","2025-12-11","100","1","1","1","1","0",
"SMOKE AND VAPE SHOP","1699 SCHOFIELD AVENUE","1699 SCHOFIELD AVENUE","SCHOFIELD","WI","54476","MARATHON","CITY of SCHOFIELD","JOSHUA L BURT","2026-06-30","2026-05-29","100","0","1","1","1","0",
"SMOKE 414 LLC","EXOTIC SMOKE WORLD","5309 W FOND DU LAC AV","MILWAUKEE","WI","53216","MILWAUKEE","CITY of MILWAUKEE","HASSAN, MAHDI, AGENT","2026-03-30","2025-07-15","100","1","1","1","1","0",
"SMOKCLAIRE","SMOKCLAIRE INC","1021 W CLAIREMONT AVE","EAU CLAIRE","WI","54701","EAU CLAIRE","CITY of EAU CLAIRE","ALSHAIKH, HANAN","2026-06-30","2025-07-14","100","1","1","1","1","0",
"SMITH FAMILY DEVELOPMENT LLC","AMERY DISCOUNT LIQUOR","1020 RIVERPLACE DRIVE","AMERY","WI","54001","POLK","CITY of AMERY","KEVIN SMITH","2027-06-30","2026-06-18"," 100.00","1","1","0","1","0",
"SM PETROLEUM CORPORATION ","DENMARK DISCOUNT MART","250 WISCONSIN AVE","DENMARK","WI","54208","BROWN","VILLAGE of DENMARK","MUNISH BHATOYA","2026-06-30","2025-07-01","100","1","1","1","1","0",
